sku,week,units
15036,2009-12-07,91.0
15036,2009-12-14,63.0
15036,2009-12-21,103.0
15036,2009-12-28,0.0
15036,2010-01-04,192.0
15036,2010-01-11,30.0
15036,2010-01-18,118.0
15036,2010-01-25,59.0
15036,2010-02-01,36.0
15036,2010-02-08,98.0
15036,2010-02-15,214.0
15036,2010-02-22,103.0
15036,2010-03-01,194.0
15036,2010-03-08,104.0
15036,2010-03-15,711.0
15036,2010-03-22,117.0
15036,2010-03-29,785.0
15036,2010-04-05,184.0
15036,2010-04-12,96.0
15036,2010-04-19,195.0
15036,2010-04-26,832.0
15036,2010-05-03,228.0
15036,2010-05-10,1179.0
15036,2010-05-17,74.0
15036,2010-05-24,882.0
15036,2010-05-31,404.0
15036,2010-06-07,1094.0
15036,2010-06-14,196.0
15036,2010-06-21,1559.0
15036,2010-06-28,1309.0
15036,2010-07-05,343.0
15036,2010-07-12,553.0
15036,2010-07-19,1784.0
15036,2010-07-26,112.0
15036,2010-08-02,168.0
15036,2010-08-09,77.0
15036,2010-08-16,0.0
15036,2010-08-23,18.0
15036,2010-08-30,26.0
15036,2010-09-06,2.0
15036,2010-09-13,3.0
15036,2010-09-20,21.0
15036,2010-09-27,23.0
15036,2010-10-04,0.0
15036,2010-10-11,831.0
15036,2010-10-18,160.0
15036,2010-10-25,1398.0
15036,2010-11-01,205.0
15036,2010-11-08,130.0
15036,2010-11-15,331.0
15036,2010-11-22,903.0
15036,2010-11-29,130.0
15036,2010-12-06,21.0
15036,2010-12-13,35.0
15036,2010-12-20,18.0
15036,2010-12-27,0.0
15036,2011-01-03,18.0
15036,2011-01-10,159.0
15036,2011-01-17,39.0
15036,2011-01-24,112.0
15036,2011-01-31,1901.0
15036,2011-02-07,68.0
15036,2011-02-14,762.0
15036,2011-02-21,128.0
15036,2011-02-28,91.0
15036,2011-03-07,369.0
15036,2011-03-14,1330.0
15036,2011-03-21,99.0
15036,2011-03-28,1229.0
15036,2011-04-04,111.0
15036,2011-04-11,864.0
15036,2011-04-18,174.0
15036,2011-04-25,793.0
15036,2011-05-02,972.0
15036,2011-05-09,898.0
15036,2011-05-16,1031.0
15036,2011-05-23,397.0
15036,2011-05-30,193.0
15036,2011-06-06,1562.0
15036,2011-06-13,973.0
15036,2011-06-20,145.0
15036,2011-06-27,131.0
15036,2011-07-04,1938.0
15036,2011-07-11,328.0
15036,2011-07-18,510.0
15036,2011-07-25,638.0
15036,2011-08-01,223.0
15036,2011-08-08,268.0
15036,2011-08-15,60.0
15036,2011-08-22,60.0
15036,2011-08-29,157.0
15036,2011-09-05,155.0
15036,2011-09-12,52.0
15036,2011-09-19,93.0
15036,2011-09-26,30.0
15036,2011-10-03,721.0
15036,2011-10-10,224.0
15036,2011-10-17,122.0
15036,2011-10-24,101.0
15036,2011-10-31,83.0
15036,2011-11-07,107.0
15036,2011-11-14,104.0
15036,2011-11-21,237.0
15036,2011-11-28,143.0
16014,2009-12-07,1510.0
16014,2009-12-14,3010.0
16014,2009-12-21,0.0
16014,2009-12-28,0.0
16014,2010-01-04,0.0
16014,2010-01-11,10.0
16014,2010-01-18,10.0
16014,2010-01-25,0.0
16014,2010-02-01,20.0
16014,2010-02-08,10.0
16014,2010-02-15,1.0
16014,2010-02-22,3.0
16014,2010-03-01,0.0
16014,2010-03-08,0.0
16014,2010-03-15,1010.0
16014,2010-03-22,0.0
16014,2010-03-29,60.0
16014,2010-04-05,0.0
16014,2010-04-12,10.0
16014,2010-04-19,50.0
16014,2010-04-26,0.0
16014,2010-05-03,0.0
16014,2010-05-10,0.0
16014,2010-05-17,0.0
16014,2010-05-24,0.0
16014,2010-05-31,0.0
16014,2010-06-07,1000.0
16014,2010-06-14,2005.0
16014,2010-06-21,1000.0
16014,2010-06-28,0.0
16014,2010-07-05,1.0
16014,2010-07-12,0.0
16014,2010-07-19,500.0
16014,2010-07-26,60.0
16014,2010-08-02,10.0
16014,2010-08-09,20.0
16014,2010-08-16,0.0
16014,2010-08-23,1010.0
16014,2010-08-30,0.0
16014,2010-09-06,0.0
16014,2010-09-13,500.0
16014,2010-09-20,0.0
16014,2010-09-27,0.0
16014,2010-10-04,0.0
16014,2010-10-11,20.0
16014,2010-10-18,40.0
16014,2010-10-25,4100.0
16014,2010-11-01,10.0
16014,2010-11-08,6.0
16014,2010-11-15,0.0
16014,2010-11-22,0.0
16014,2010-11-29,14.0
16014,2010-12-06,1001.0
16014,2010-12-13,14.0
16014,2010-12-20,0.0
16014,2010-12-27,0.0
16014,2011-01-03,0.0
16014,2011-01-10,0.0
16014,2011-01-17,0.0
16014,2011-01-24,10.0
16014,2011-01-31,0.0
16014,2011-02-07,0.0
16014,2011-02-14,1500.0
16014,2011-02-21,1.0
16014,2011-02-28,0.0
16014,2011-03-07,0.0
16014,2011-03-14,60.0
16014,2011-03-21,1000.0
16014,2011-03-28,0.0
16014,2011-04-04,0.0
16014,2011-04-11,10.0
16014,2011-04-18,3.0
16014,2011-04-25,10.0
16014,2011-05-02,2601.0
16014,2011-05-09,110.0
16014,2011-05-16,0.0
16014,2011-05-23,0.0
16014,2011-05-30,0.0
16014,2011-06-06,20.0
16014,2011-06-13,12.0
16014,2011-06-20,0.0
16014,2011-06-27,0.0
16014,2011-07-04,20.0
16014,2011-07-11,0.0
16014,2011-07-18,0.0
16014,2011-07-25,0.0
16014,2011-08-01,0.0
16014,2011-08-08,10.0
16014,2011-08-15,1.0
16014,2011-08-22,2034.0
16014,2011-08-29,0.0
16014,2011-09-05,1000.0
16014,2011-09-12,0.0
16014,2011-09-19,0.0
16014,2011-09-26,1.0
16014,2011-10-03,0.0
16014,2011-10-10,20.0
16014,2011-10-17,20.0
16014,2011-10-24,0.0
16014,2011-10-31,3021.0
16014,2011-11-07,10.0
16014,2011-11-14,0.0
16014,2011-11-21,514.0
16014,2011-11-28,11.0
17003,2009-12-07,192.0
17003,2009-12-14,425.0
17003,2009-12-21,1.0
17003,2009-12-28,0.0
17003,2010-01-04,2.0
17003,2010-01-11,758.0
17003,2010-01-18,51.0
17003,2010-01-25,150.0
17003,2010-02-01,806.0
17003,2010-02-08,151.0
17003,2010-02-15,829.0
17003,2010-02-22,109.0
17003,2010-03-01,184.0
17003,2010-03-08,21.0
17003,2010-03-15,792.0
17003,2010-03-22,0.0
17003,2010-03-29,0.0
17003,2010-04-05,61.0
17003,2010-04-12,0.0
17003,2010-04-19,119.0
17003,2010-04-26,721.0
17003,2010-05-03,828.0
17003,2010-05-10,2342.0
17003,2010-05-17,62.0
17003,2010-05-24,738.0
17003,2010-05-31,43.0
17003,2010-06-07,1289.0
17003,2010-06-14,309.0
17003,2010-06-21,987.0
17003,2010-06-28,758.0
17003,2010-07-05,194.0
17003,2010-07-12,6.0
17003,2010-07-19,775.0
17003,2010-07-26,180.0
17003,2010-08-02,216.0
17003,2010-08-09,36.0
17003,2010-08-16,828.0
17003,2010-08-23,828.0
17003,2010-08-30,11138.0
17003,2010-09-06,1590.0
17003,2010-09-13,74.0
17003,2010-09-20,922.0
17003,2010-09-27,149.0
17003,2010-10-04,5632.0
