shortage_to_excess_ratio,policy,total_cost
1,mean4,133162.00000000
1,mean4_tuned,151568.00000000
1,point,123072.00000000
1,point_tuned,146168.00000000
1,quantile_80,181369.00000000
2,mean4,207749.00000000
2,mean4_tuned,208833.00000000
2,point,215047.00000000
2,point_tuned,207928.00000000
2,quantile_80,223983.00000000
4,mean4,356923.00000000
4,mean4_tuned,323363.00000000
4,point,398997.00000000
4,point_tuned,331448.00000000
4,quantile_80,309211.00000000
8,mean4,655271.00000000
8,mean4_tuned,552423.00000000
8,point,766897.00000000
8,point_tuned,578488.00000000
8,quantile_80,479667.00000000
