sku,week,units,policy,target,shortage,excess,cost,filled
15036,2011-09-05,155.00000000,mean4,137.00000000,18.00000000,0.00000000,72.00000000,137.00000000
16014,2011-09-05,1000.00000000,mean4,512.00000000,488.00000000,0.00000000,1952.00000000,512.00000000
17003,2011-09-05,180.00000000,mean4,364.00000000,0.00000000,184.00000000,184.00000000,180.00000000
20725,2011-09-05,303.00000000,mean4,355.00000000,0.00000000,52.00000000,52.00000000,303.00000000
20727,2011-09-05,227.00000000,mean4,281.00000000,0.00000000,54.00000000,54.00000000,227.00000000
21080,2011-09-05,186.00000000,mean4,131.00000000,55.00000000,0.00000000,220.00000000,131.00000000
21212,2011-09-05,352.00000000,mean4,618.00000000,0.00000000,266.00000000,266.00000000,352.00000000
21213,2011-09-05,775.00000000,mean4,306.00000000,469.00000000,0.00000000,1876.00000000,306.00000000
21232,2011-09-05,287.00000000,mean4,93.00000000,194.00000000,0.00000000,776.00000000,93.00000000
21498,2011-09-05,275.00000000,mean4,82.00000000,193.00000000,0.00000000,772.00000000,82.00000000
21915,2011-09-05,130.00000000,mean4,543.00000000,0.00000000,413.00000000,413.00000000,130.00000000
21928,2011-09-05,126.00000000,mean4,226.00000000,0.00000000,100.00000000,100.00000000,126.00000000
21929,2011-09-05,144.00000000,mean4,153.00000000,0.00000000,9.00000000,9.00000000,144.00000000
21931,2011-09-05,276.00000000,mean4,338.00000000,0.00000000,62.00000000,62.00000000,276.00000000
21975,2011-09-05,383.00000000,mean4,272.00000000,111.00000000,0.00000000,444.00000000,272.00000000
21977,2011-09-05,520.00000000,mean4,516.00000000,4.00000000,0.00000000,16.00000000,516.00000000
21980,2011-09-05,218.00000000,mean4,48.00000000,170.00000000,0.00000000,680.00000000,48.00000000
21981,2011-09-05,135.00000000,mean4,32.00000000,103.00000000,0.00000000,412.00000000,32.00000000
21982,2011-09-05,186.00000000,mean4,69.00000000,117.00000000,0.00000000,468.00000000,69.00000000
21984,2011-09-05,74.00000000,mean4,54.00000000,20.00000000,0.00000000,80.00000000,54.00000000
21985,2011-09-05,98.00000000,mean4,118.00000000,0.00000000,20.00000000,20.00000000,98.00000000
22086,2011-09-05,495.00000000,mean4,66.00000000,429.00000000,0.00000000,1716.00000000,66.00000000
22151,2011-09-05,577.00000000,mean4,181.00000000,396.00000000,0.00000000,1584.00000000,181.00000000
22178,2011-09-05,218.00000000,mean4,372.00000000,0.00000000,154.00000000,154.00000000,218.00000000
22197,2011-09-05,344.00000000,mean4,960.00000000,0.00000000,616.00000000,616.00000000,344.00000000
22355,2011-09-05,229.00000000,mean4,268.00000000,0.00000000,39.00000000,39.00000000,229.00000000
22386,2011-09-05,617.00000000,mean4,394.00000000,223.00000000,0.00000000,892.00000000,394.00000000
22411,2011-09-05,284.00000000,mean4,247.00000000,37.00000000,0.00000000,148.00000000,247.00000000
22423,2011-09-05,105.00000000,mean4,127.00000000,0.00000000,22.00000000,22.00000000,105.00000000
22469,2011-09-05,237.00000000,mean4,119.00000000,118.00000000,0.00000000,472.00000000,119.00000000
22492,2011-09-05,84.00000000,mean4,154.00000000,0.00000000,70.00000000,70.00000000,84.00000000
22616,2011-09-05,76.00000000,mean4,297.00000000,0.00000000,221.00000000,221.00000000,76.00000000
71459,2011-09-05,244.00000000,mean4,129.00000000,115.00000000,0.00000000,460.00000000,129.00000000
72741,2011-09-05,90.00000000,mean4,37.00000000,53.00000000,0.00000000,212.00000000,37.00000000
84077,2011-09-05,336.00000000,mean4,553.00000000,0.00000000,217.00000000,217.00000000,336.00000000
84212,2011-09-05,504.00000000,mean4,147.00000000,357.00000000,0.00000000,1428.00000000,147.00000000
84270,2011-09-05,0.00000000,mean4,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
84347,2011-09-05,38.00000000,mean4,10.00000000,28.00000000,0.00000000,112.00000000,10.00000000
84568,2011-09-05,45.00000000,mean4,392.00000000,0.00000000,347.00000000,347.00000000,45.00000000
84598,2011-09-05,21.00000000,mean4,16.00000000,5.00000000,0.00000000,20.00000000,16.00000000
84755,2011-09-05,284.00000000,mean4,371.00000000,0.00000000,87.00000000,87.00000000,284.00000000
84879,2011-09-05,384.00000000,mean4,719.00000000,0.00000000,335.00000000,335.00000000,384.00000000
84946,2011-09-05,247.00000000,mean4,288.00000000,0.00000000,41.00000000,41.00000000,247.00000000
84970S,2011-09-05,85.00000000,mean4,78.00000000,7.00000000,0.00000000,28.00000000,78.00000000
84991,2011-09-05,549.00000000,mean4,272.00000000,277.00000000,0.00000000,1108.00000000,272.00000000
84992,2011-09-05,87.00000000,mean4,93.00000000,0.00000000,6.00000000,6.00000000,87.00000000
85099B,2011-09-05,536.00000000,mean4,1034.00000000,0.00000000,498.00000000,498.00000000,536.00000000
85099C,2011-09-05,439.00000000,mean4,190.00000000,249.00000000,0.00000000,996.00000000,190.00000000
85099F,2011-09-05,189.00000000,mean4,442.00000000,0.00000000,253.00000000,253.00000000,189.00000000
85123A,2011-09-05,407.00000000,mean4,456.00000000,0.00000000,49.00000000,49.00000000,407.00000000
15036,2011-09-12,52.00000000,mean4,108.00000000,0.00000000,56.00000000,56.00000000,52.00000000
16014,2011-09-12,0.00000000,mean4,759.00000000,0.00000000,759.00000000,759.00000000,0.00000000
17003,2011-09-12,109.00000000,mean4,373.00000000,0.00000000,264.00000000,264.00000000,109.00000000
20725,2011-09-12,299.00000000,mean4,287.00000000,12.00000000,0.00000000,48.00000000,287.00000000
20727,2011-09-12,302.00000000,mean4,261.00000000,41.00000000,0.00000000,164.00000000,261.00000000
21080,2011-09-12,168.00000000,mean4,155.00000000,13.00000000,0.00000000,52.00000000,155.00000000
21212,2011-09-12,931.00000000,mean4,640.00000000,291.00000000,0.00000000,1164.00000000,640.00000000
21213,2011-09-12,865.00000000,mean4,484.00000000,381.00000000,0.00000000,1524.00000000,484.00000000
21232,2011-09-12,133.00000000,mean4,135.00000000,0.00000000,2.00000000,2.00000000,133.00000000
21498,2011-09-12,125.00000000,mean4,125.00000000,0.00000000,0.00000000,0.00000000,125.00000000
21915,2011-09-12,223.00000000,mean4,368.00000000,0.00000000,145.00000000,145.00000000,223.00000000
21928,2011-09-12,202.00000000,mean4,224.00000000,0.00000000,22.00000000,22.00000000,202.00000000
21929,2011-09-12,78.00000000,mean4,164.00000000,0.00000000,86.00000000,86.00000000,78.00000000
21931,2011-09-12,330.00000000,mean4,333.00000000,0.00000000,3.00000000,3.00000000,330.00000000
21975,2011-09-12,799.00000000,mean4,345.00000000,454.00000000,0.00000000,1816.00000000,345.00000000
21977,2011-09-12,718.00000000,mean4,590.00000000,128.00000000,0.00000000,512.00000000,590.00000000
21980,2011-09-12,89.00000000,mean4,93.00000000,0.00000000,4.00000000,4.00000000,89.00000000
21981,2011-09-12,51.00000000,mean4,63.00000000,0.00000000,12.00000000,12.00000000,51.00000000
21982,2011-09-12,92.00000000,mean4,102.00000000,0.00000000,10.00000000,10.00000000,92.00000000
21984,2011-09-12,90.00000000,mean4,58.00000000,32.00000000,0.00000000,128.00000000,58.00000000
21985,2011-09-12,616.00000000,mean4,127.00000000,489.00000000,0.00000000,1956.00000000,127.00000000
22086,2011-09-12,479.00000000,mean4,184.00000000,295.00000000,0.00000000,1180.00000000,184.00000000
22151,2011-09-12,209.00000000,mean4,310.00000000,0.00000000,101.00000000,101.00000000,209.00000000
22178,2011-09-12,242.00000000,mean4,349.00000000,0.00000000,107.00000000,107.00000000,242.00000000
22197,2011-09-12,546.00000000,mean4,630.00000000,0.00000000,84.00000000,84.00000000,546.00000000
22355,2011-09-12,421.00000000,mean4,263.00000000,158.00000000,0.00000000,632.00000000,263.00000000
22386,2011-09-12,478.00000000,mean4,458.00000000,20.00000000,0.00000000,80.00000000,458.00000000
22411,2011-09-12,335.00000000,mean4,261.00000000,74.00000000,0.00000000,296.00000000,261.00000000
22423,2011-09-12,197.00000000,mean4,123.00000000,74.00000000,0.00000000,296.00000000,123.00000000
22469,2011-09-12,359.00000000,mean4,141.00000000,218.00000000,0.00000000,872.00000000,141.00000000
22492,2011-09-12,325.00000000,mean4,148.00000000,177.00000000,0.00000000,708.00000000,148.00000000
22616,2011-09-12,200.00000000,mean4,281.00000000,0.00000000,81.00000000,81.00000000,200.00000000
71459,2011-09-12,604.00000000,mean4,146.00000000,458.00000000,0.00000000,1832.00000000,146.00000000
72741,2011-09-12,283.00000000,mean4,57.00000000,226.00000000,0.00000000,904.00000000,57.00000000
84077,2011-09-12,960.00000000,mean4,493.00000000,467.00000000,0.00000000,1868.00000000,493.00000000
84212,2011-09-12,0.00000000,mean4,273.00000000,0.00000000,273.00000000,273.00000000,0.00000000
84270,2011-09-12,0.00000000,mean4,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
84347,2011-09-12,294.00000000,mean4,20.00000000,274.00000000,0.00000000,1096.00000000,20.00000000
84568,2011-09-12,32.00000000,mean4,395.00000000,0.00000000,363.00000000,363.00000000,32.00000000
84598,2011-09-12,12.00000000,mean4,16.00000000,0.00000000,4.00000000,4.00000000,12.00000000
84755,2011-09-12,392.00000000,mean4,306.00000000,86.00000000,0.00000000,344.00000000,306.00000000
84879,2011-09-12,740.00000000,mean4,486.00000000,254.00000000,0.00000000,1016.00000000,486.00000000
84946,2011-09-12,115.00000000,mean4,309.00000000,0.00000000,194.00000000,194.00000000,115.00000000
84970S,2011-09-12,85.00000000,mean4,83.00000000,2.00000000,0.00000000,8.00000000,83.00000000
84991,2011-09-12,733.00000000,mean4,331.00000000,402.00000000,0.00000000,1608.00000000,331.00000000
84992,2011-09-12,655.00000000,mean4,94.00000000,561.00000000,0.00000000,2244.00000000,94.00000000
85099B,2011-09-12,741.00000000,mean4,887.00000000,0.00000000,146.00000000,146.00000000,741.00000000
85099C,2011-09-12,109.00000000,mean4,237.00000000,0.00000000,128.00000000,128.00000000,109.00000000
85099F,2011-09-12,302.00000000,mean4,415.00000000,0.00000000,113.00000000,113.00000000,302.00000000
85123A,2011-09-12,657.00000000,mean4,458.00000000,199.00000000,0.00000000,796.00000000,458.00000000
15036,2011-09-19,93.00000000,mean4,106.00000000,0.00000000,13.00000000,13.00000000,93.00000000
16014,2011-09-19,0.00000000,mean4,759.00000000,0.00000000,759.00000000,759.00000000,0.00000000
17003,2011-09-19,857.00000000,mean4,380.00000000,477.00000000,0.00000000,1908.00000000,380.00000000
20725,2011-09-19,211.00000000,mean4,269.00000000,0.00000000,58.00000000,58.00000000,211.00000000
20727,2011-09-19,312.00000000,mean4,275.00000000,37.00000000,0.00000000,148.00000000,275.00000000
21080,2011-09-19,210.00000000,mean4,169.00000000,41.00000000,0.00000000,164.00000000,169.00000000
21212,2011-09-19,404.00000000,mean4,484.00000000,0.00000000,80.00000000,80.00000000,404.00000000
21213,2011-09-19,251.00000000,mean4,499.00000000,0.00000000,248.00000000,248.00000000,251.00000000
21232,2011-09-19,207.00000000,mean4,149.00000000,58.00000000,0.00000000,232.00000000,149.00000000
21498,2011-09-19,175.00000000,mean4,138.00000000,37.00000000,0.00000000,148.00000000,138.00000000
21915,2011-09-19,197.00000000,mean4,399.00000000,0.00000000,202.00000000,202.00000000,197.00000000
21928,2011-09-19,221.00000000,mean4,210.00000000,11.00000000,0.00000000,44.00000000,210.00000000
21929,2011-09-19,379.00000000,mean4,128.00000000,251.00000000,0.00000000,1004.00000000,128.00000000
21931,2011-09-19,278.00000000,mean4,316.00000000,0.00000000,38.00000000,38.00000000,278.00000000
21975,2011-09-19,310.00000000,mean4,333.00000000,0.00000000,23.00000000,23.00000000,310.00000000
21977,2011-09-19,326.00000000,mean4,568.00000000,0.00000000,242.00000000,242.00000000,326.00000000
21980,2011-09-19,63.00000000,mean4,93.00000000,0.00000000,30.00000000,30.00000000,63.00000000
21981,2011-09-19,76.00000000,mean4,61.00000000,15.00000000,0.00000000,60.00000000,61.00000000
21982,2011-09-19,62.00000000,mean4,105.00000000,0.00000000,43.00000000,43.00000000,62.00000000
21984,2011-09-19,62.00000000,mean4,65.00000000,0.00000000,3.00000000,3.00000000,62.00000000
21985,2011-09-19,102.00000000,mean4,238.00000000,0.00000000,136.00000000,136.00000000,102.00000000
22086,2011-09-19,584.00000000,mean4,299.00000000,285.00000000,0.00000000,1140.00000000,299.00000000
22151,2011-09-19,140.00000000,mean4,235.00000000,0.00000000,95.00000000,95.00000000,140.00000000
22178,2011-09-19,419.00000000,mean4,338.00000000,81.00000000,0.00000000,324.00000000,338.00000000
22197,2011-09-19,562.00000000,mean4,655.00000000,0.00000000,93.00000000,93.00000000,562.00000000
22355,2011-09-19,197.00000000,mean4,332.00000000,0.00000000,135.00000000,135.00000000,197.00000000
22386,2011-09-19,599.00000000,mean4,486.00000000,113.00000000,0.00000000,452.00000000,486.00000000
22411,2011-09-19,422.00000000,mean4,267.00000000,155.00000000,0.00000000,620.00000000,267.00000000
22423,2011-09-19,100.00000000,mean4,135.00000000,0.00000000,35.00000000,35.00000000,100.00000000
22469,2011-09-19,1019.00000000,mean4,211.00000000,808.00000000,0.00000000,3232.00000000,211.00000000
22492,2011-09-19,190.00000000,mean4,185.00000000,5.00000000,0.00000000,20.00000000,185.00000000
22616,2011-09-19,267.00000000,mean4,294.00000000,0.00000000,27.00000000,27.00000000,267.00000000
71459,2011-09-19,120.00000000,mean4,267.00000000,0.00000000,147.00000000,147.00000000,120.00000000
72741,2011-09-19,48.00000000,mean4,114.00000000,0.00000000,66.00000000,66.00000000,48.00000000
84077,2011-09-19,539.00000000,mean4,625.00000000,0.00000000,86.00000000,86.00000000,539.00000000
84212,2011-09-19,24.00000000,mean4,132.00000000,0.00000000,108.00000000,108.00000000,24.00000000
84270,2011-09-19,0.00000000,mean4,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
84347,2011-09-19,367.00000000,mean4,89.00000000,278.00000000,0.00000000,1112.00000000,89.00000000
84568,2011-09-19,24.00000000,mean4,403.00000000,0.00000000,379.00000000,379.00000000,24.00000000
84598,2011-09-19,20.00000000,mean4,19.00000000,1.00000000,0.00000000,4.00000000,19.00000000
84755,2011-09-19,228.00000000,mean4,353.00000000,0.00000000,125.00000000,125.00000000,228.00000000
84879,2011-09-19,637.00000000,mean4,534.00000000,103.00000000,0.00000000,412.00000000,534.00000000
84946,2011-09-19,477.00000000,mean4,203.00000000,274.00000000,0.00000000,1096.00000000,203.00000000
84970S,2011-09-19,89.00000000,mean4,85.00000000,4.00000000,0.00000000,16.00000000,85.00000000
84991,2011-09-19,306.00000000,mean4,376.00000000,0.00000000,70.00000000,70.00000000,306.00000000
