week,wape,coverage,recorded_units,predicted_units
2011-09-05,0.50979162,0.90000000,13781.00000000,10272.01602558
2011-09-12,0.47761950,0.80000000,16777.00000000,10358.98218362
2011-09-19,0.39383210,0.88000000,15386.00000000,13811.00693898
2011-09-26,0.46602316,0.90000000,13740.00000000,14095.73770365
2011-10-03,0.61610059,0.68000000,21761.00000000,14655.72059396
2011-10-10,0.62944702,0.78000000,10759.00000000,15105.34578069
2011-10-17,0.48817047,0.80000000,11144.00000000,10709.52560998
2011-10-24,0.65246107,0.78000000,21451.00000000,10679.24426609
2011-10-31,0.65169844,0.76000000,21828.00000000,12340.39356941
2011-11-07,0.56156230,0.82000000,21178.00000000,13822.20162875
2011-11-14,0.48527872,0.88000000,22004.00000000,14593.65339329
2011-11-21,0.53086639,0.82000000,17894.00000000,13613.14670452
2011-11-28,0.46911077,0.86000000,20546.00000000,12986.21755614
